Country name,Region,Currency,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Source
Algeria,Africa,DZD,,,,,26893,29352,31755,36104,37826,39242,39901,40325,40955,41800,,,Algeria National Statistical Office
Benin,Africa,XOF,,,,,36691,40120,,,,46596,,,73321,,,,Institut National de la Statistique et de l’Analyse Economique
Botswana,Africa,BWP,,,,4443,4641,4731,,,,,,,,5122,5218,,ILOSTAT
Burkina Faso,Africa,XOF,,,,,,,,,,,,,107025,,,,National Institute of Statistics and Demography for Burkina Faso 
Central African Republic,Africa,XAF,138214,135071,141600,139625,137955,142996,147839,149280,152867,161839,161060,176810,,,,,Institut Centrafricain des Statistiques et des Etudes Economiques et Sociales (CAPMAS)
Chad,Africa,XAF,,,,,,96197,,,,,,,121734,,,,"Institut national de la statitique, des etudes economieques et demographiques "
Côte d'Ivoire,Africa,XOF,,,,,,,76937,114309,,,,,,135131,,,ILOSTAT
Egypt,Africa,EGP,992,1092,1426,1569,1902,2314,2778,3298,3493,3809,4082,4550,4784,5560,3965,4082,Egypt Central Agency for Public Mobilization and Statistics
Ethiopia,Africa,ETB,,,,,861,1063,1256,1349,,,,,,,,,ILOSTAT
"Gambia, the",Africa,GMD,,,,,,,3478,,,,,,3977,,,,ILOSTAT
Ghana,Africa,GHS,,,,,,,,627,,,,689,,,,,ILOSTAT
Guinea,Africa,GNF,,,637469,619343,883618,925377,971962,1158310,,,,,,143981,,,Guinea Ministère de l'Economie et des finances Ministère de la fonction publique et Reforme de l'administration
Guinea-Bissau,Africa,XOF,,,,,,,,,,,,,90389,,,,ILOSTAT
Kenya,Africa,KES,26374,28661,30551,31932,32963,34596,36944,42886,47044,49524,52389,56741,60762,65390,67410,68953,Kenya National Bureau of Statistics
Lesotho,Africa,LSL,1003,875,940,961,988,1203,1466,1590,1701,2145,1899,1988,2069,2373,1572,2646,Lesotho Bureau of Statistics
Liberia,Africa,LRD,,,,,276,,,,,,,1116,,,,,ILOSTAT
Malawi,Africa,MWK,20850,22883,24967,27542,26321,38766,52250,61417,80667,103083,108333,125000,,,,,National Statistical Office of Malawi
Mali,Africa,XOF,,,,,,,,77468,72802,64631,70076,69596,73226,,81011,,ILOSTAT
Mauritius,Africa,MUR,12632,13397,14440,16899,18268,19700,21103,23785,24607,25368,27626,29462,30809,31866,,,Central Statistics Office of Mauritius
Morocco,Africa,MAD,3704,3817,4010,4206,4322,4460,4605,4682,4774,4910,5032,5104,5183,5255,5152,,Caisse Nationale de Sécurité Sociale de Maroc
Namibia,Africa,NAD,,,,,,,5624,6843,6638,,6927,,7233,,,,ILOSTAT
Nigeria,Africa,NGN,,,,,,33507,,39775,48413,45698,52215,50466,,45513,,,Nigeria National Bureau of Statistics
Rwanda,Africa,RWF,,,,,,,,,,,50923,57306,56983,57878,,54073,National Institute of Statistics of Rwanda
Senegal,Africa,XOF,,,,,,,,,,,116476,156074,,85966,,,Ministère de L’Economie des Finances et du Plan
Seychelles,Africa,SCR,3938,4015,4645,5958,6987,7928,8722,,,,,,13378,14733,,,ILOSTAT
Sierra Leone,Africa,SLL,,,,,,,,,,,,,2218299,,,,ILOSTAT
South Africa,Africa,ZAR,7939,8589,9578,10618,12150,13100,14259,15070,15959,16957,18035,19650,20884,21958,22361,23654,Statistics South Africa
"Tanzania, United Republic of",Africa,TZS,98454,,,,,,,,304324,,,,,,425957,,Tanzania National Bureau of Statistics
