Entity,Code,Year,Human capital index (HCI) (scale 0-1),Continent
Abkhazia,OWID_ABK,2015,,Asia
Afghanistan,AFG,2015,,Asia
Afghanistan,AFG,2017,0.389,
Afghanistan,AFG,2018,0.39348924,
Afghanistan,AFG,2020,0.40028414,
Akrotiri and Dhekelia,OWID_AKD,2015,,Asia
Aland Islands,ALA,2015,,Europe
Albania,ALB,2010,0.54360294,
Albania,ALB,2015,,Europe
Albania,ALB,2017,0.621,
Albania,ALB,2018,0.6286663,
Albania,ALB,2020,0.63425094,
Algeria,DZA,2010,0.5312829,
Algeria,DZA,2015,,Africa
Algeria,DZA,2017,0.523,
Algeria,DZA,2018,0.5319939,
Algeria,DZA,2020,0.53455645,
American Samoa,ASM,2015,,Oceania
Andorra,AND,2015,,Europe
Angola,AGO,2015,,Africa
Angola,AGO,2017,0.361,
Angola,AGO,2018,0.36019096,
Angola,AGO,2020,0.3624054,
Anguilla,AIA,2015,,North America
Antarctica,ATA,2015,,Antarctica
Antigua and Barbuda,ATG,2015,,North America
Antigua and Barbuda,ATG,2018,0.57821697,
Antigua and Barbuda,ATG,2020,0.5957039,
Argentina,ARG,2010,0.58855706,
Argentina,ARG,2015,,South America
Argentina,ARG,2017,0.611,
Argentina,ARG,2018,0.61736673,
Argentina,ARG,2020,0.6021447,
Armenia,ARM,2015,,Asia
Armenia,ARM,2017,0.572,
Armenia,ARM,2018,0.58172596,
Armenia,ARM,2020,0.5789988,
Aruba,ABW,2015,,North America
Australia,AUS,2010,0.7548438,
Australia,AUS,2015,,Oceania
Australia,AUS,2017,0.803,
Australia,AUS,2018,0.78083396,
Australia,AUS,2020,0.77023953,
Austria,AUT,2010,0.7377821,
Austria,AUT,2015,,Europe
Austria,AUT,2017,0.793,
Austria,AUT,2018,0.7686731,
Austria,AUT,2020,0.74673975,
Austria-Hungary,OWID_AUH,2015,,Europe
Azerbaijan,AZE,2010,0.49745739,
Azerbaijan,AZE,2015,,Asia
Azerbaijan,AZE,2017,0.597,
Azerbaijan,AZE,2018,0.62931216,
Azerbaijan,AZE,2020,0.57776755,
Baden,OWID_BAD,2015,,Europe
Bahamas,BHS,2015,,North America
Bahrain,BHR,2010,0.6049123,
Bahrain,BHR,2015,,Asia
Bahrain,BHR,2017,0.668,
Bahrain,BHR,2018,0.66389877,
Bahrain,BHR,2020,0.652472,
Bangladesh,BGD,2015,,Asia
Bangladesh,BGD,2017,0.479,
Bangladesh,BGD,2018,0.45855328,
Bangladesh,BGD,2020,0.46403643,
Barbados,BRB,2015,,North America
Bavaria,OWID_BAV,2015,,Europe
Belarus,BLR,2015,,Europe
Belarus,BLR,2020,0.7000782,
Belgium,BEL,2010,0.75272685,
Belgium,BEL,2015,,Europe
Belgium,BEL,2017,0.757,
Belgium,BEL,2018,0.76275975,
Belgium,BEL,2020,0.76041967,
Belize,BLZ,2015,,North America
Benin,BEN,2010,0.3655848,
Benin,BEN,2015,,Africa
Benin,BEN,2017,0.406,
Benin,BEN,2018,0.39695033,
Benin,BEN,2020,0.40029073,
Bermuda,BMU,2015,,North America
Bhutan,BTN,2015,,Asia
Bhutan,BTN,2020,0.47529703,
Bolivia,BOL,2015,,South America
Bonaire Sint Eustatius and Saba,BES,2015,,North America
Bosnia and Herzegovina,BIH,2015,,Europe
Bosnia and Herzegovina,BIH,2017,0.618,
Bosnia and Herzegovina,BIH,2018,0.619265,
Bosnia and Herzegovina,BIH,2020,0.5796841,
Botswana,BWA,2010,0.3677121,
Botswana,BWA,2015,,Africa
Botswana,BWA,2017,0.424,
Botswana,BWA,2018,0.4125165,
Botswana,BWA,2020,0.4140285,
Bouvet Island,BVT,2015,,Antarctica
Brazil,BRA,2010,0.5329525,
Brazil,BRA,2015,,South America
Brazil,BRA,2017,0.56,
Brazil,BRA,2018,0.54572374,
Brazil,BRA,2020,0.55149794,
British Indian Ocean Territory,IOT,2015,,Asia
British Virgin Islands,VGB,2015,,North America
Brunei,BRN,2015,,Asia
Brunei,BRN,2020,0.62639135,
Bulgaria,BGR,2010,0.63661927,
Bulgaria,BGR,2015,,Europe
Bulgaria,BGR,2017,0.676,
Bulgaria,BGR,2018,0.67027724,
Bulgaria,BGR,2020,0.61389816,
Burkina Faso,BFA,2010,0.31972128,
Burkina Faso,BFA,2015,,Africa
Burkina Faso,BFA,2017,0.369,
Burkina Faso,BFA,2018,0.37828398,
Burkina Faso,BFA,2020,0.38369194,
Burundi,BDI,2010,0.3428755,
Burundi,BDI,2015,,Africa
Burundi,BDI,2017,0.38,
Burundi,BDI,2018,0.3895748,
Burundi,BDI,2020,0.38617063,
Cambodia,KHM,2015,,Asia
Cambodia,KHM,2017,0.493,
Cambodia,KHM,2018,0.49068487,
Cambodia,KHM,2020,0.49158987,
Cameroon,CMR,2010,0.37978294,
Cameroon,CMR,2015,,Africa
Cameroon,CMR,2017,0.394,
Cameroon,CMR,2018,0.39332068,
Cameroon,CMR,2020,0.3974015,
Canada,CAN,2010,0.77410376,
Canada,CAN,2015,,North America
Canada,CAN,2017,0.799,
Canada,CAN,2018,0.80008996,
Canada,CAN,2020,0.7975201,
Cape Verde,CPV,2015,,Africa
Cayman Islands,CYM,2015,,North America
Central African Republic,CAF,2015,,Africa
Central African Republic,CAF,2020,0.2916319,
Chad,TCD,2010,0.28607464,
Chad,TCD,2015,,Africa
Chad,TCD,2017,0.293,
Chad,TCD,2018,0.299029,
Chad,TCD,2020,0.29978278,
Channel Islands,OWID_CIS,2015,,Europe
Chile,CHL,2010,0.62636,
Chile,CHL,2015,,South America
Chile,CHL,2017,0.674,
Chile,CHL,2018,0.66526514,
Chile,CHL,2020,0.6516042,
China,CHN,2015,,Asia
China,CHN,2017,0.673,
China,CHN,2018,0.64709884,
China,CHN,2020,0.65310264,
Christmas Island,CXR,2015,,Asia
Cocos Islands,CCK,2015,,Asia
Colombia,COL,2010,0.5802495,
Colombia,COL,2015,,South America
Colombia,COL,2017,0.593,
Colombia,COL,2018,0.59865385,
Colombia,COL,2020,0.6043303,
Comoros,COM,2015,,Africa
Comoros,COM,2017,0.409,
Comoros,COM,2018,0.40095013,
Comoros,COM,2020,0.4046883,
Congo,COG,2010,0.40927175,
Congo,COG,2015,,Africa
Congo,COG,2017,0.42,
Congo,COG,2018,0.41783553,
Congo,COG,2020,0.41926572,
Cook Islands,COK,2015,,Oceania
Costa Rica,CRI,2010,0.5977589,
Costa Rica,CRI,2015,,North America
Costa Rica,CRI,2017,0.619,
Costa Rica,CRI,2018,0.6032588,
Costa Rica,CRI,2020,0.62863505,
Cote d'Ivoire,CIV,2010,0.3038381,
Cote d'Ivoire,CIV,2015,,Africa
Cote d'Ivoire,CIV,2017,0.353,
Cote d'Ivoire,CIV,2018,0.36996835,
Cote d'Ivoire,CIV,2020,0.37988934,
Croatia,HRV,2010,0.69329935,
Croatia,HRV,2015,,Europe
Croatia,HRV,2017,0.723,
Croatia,HRV,2018,0.72936565,
Croatia,HRV,2020,0.70969397,
Cuba,CUB,2015,,North America
Curacao,CUW,2015,,North America
Cyprus,CYP,2010,0.68636197,
Cyprus,CYP,2015,,Europe
Cyprus,CYP,2017,0.751,
Cyprus,CYP,2018,0.75461704,
Cyprus,CYP,2020,0.7555202,
Czechia,CZE,2010,0.7269691,
Czechia,CZE,2015,,Europe
Czechia,CZE,2017,0.782,
Czechia,CZE,2018,0.7645167,
Czechia,CZE,2020,0.7522574,
Czechoslovakia,OWID_CZS,2015,,Europe
Democratic Republic of Congo,COD,2015,,Africa
Democratic Republic of Congo,COD,2017,0.369,
